EAN;Menor preço (R$);Origem;Produto;Link
7896226105147;143.97;Drogaven;Caldê Mag Marjan Farma 60 comprimidos revestidos;https://www.drogaven.com.br/calde-mag-marjan-farma-60-comprimidos-revestidos/p
7791293051581;25.11;Drogaven;Desodorante Corporal Aerossol Rexona All Body Deo Active Fresh 150ml;https://www.drogaven.com.br/desodorante-rexona-corporal-all-body-150ml-active-fresh/p
7896026307758;304.5;Drogaven;Jardiance Duo 12,5mg + 1000mg, 60 comprimidos revestidos;https://www.drogaven.com.br/jardiance-duo-125mg-1000mg-60-comprimidos-revestidos/p
7898430191947;77.06;Drogaven;Folagest Gestantes 45 comprimidos revestidos;https://www.drogaven.com.br/folagest-gestantes-45-comprimidos-revestidos/p
7896658018879;44.88;Drogaven;Esalerg 0,5mg/mL, frasco com 60mL de xarope + 1 seringa dosadora;https://www.drogaven.com.br/esalerg-05mgml-frasco-com-60ml-de-xarope-1-seringa-dosadora/p
3499320011655;111.16;Drogaven;Creme Hidratante Facial Cetaphil Optimal Hydration 48g;https://www.drogaven.com.br/creme-hidratante-facial-cetaphil-optimal-hydration-48g/p
7622210573483;8.81;Drogaven;Goma de Mascar Trident Blueberry 25,2g;https://www.drogaven.com.br/goma-de-mascar-trident-blueberry-252g/p
7891010503505;44.0;Drogaven;Loção Hidratante Corporal Johnson's Baby Regular 200ml;https://www.drogaven.com.br/locao-hidratante-johnsons-baby-200ml/p
7896658033575;235.1;Drogaven;Protena 40mg, frasco com 60 cápsulas;https://www.drogaven.com.br/protena-40mg-frasco-com-60-capsulas/p
7896094919693;10.13;Drogaven;Engov After citrus com 250mL;https://www.drogaven.com.br/engov-after-citrus-com-250ml/p
7896877602279;14.99;Drogaven;Fralda Descartável Geriátrica Diguisec Regular EG 7 unidades;https://www.drogaven.com.br/diguisec-regular-eg-7un-fp/p
7896004769325;65.07;Drogaven;Lubrificante Ocular Adaptis 1% com 10mL;https://www.drogaven.com.br/lubrificante-ocular-adaptis-1-com-10ml/p
7891150091207;42.04;Drogaven;SHAMPOO TRESEMME BRILHO LAMELAR 650ML;https://www.drogaven.com.br/shampoo-tresemme-brilho-lamelar-650ml/p
7891010560737;8.81;Drogaven;Hastes Flexíveis Johnson & Johnson Cotonetes 75 unidades;https://www.drogaven.com.br/hastes-flexiveis-johnson-johnson-cotonetes-75-unidades/p
7894222021669;10.77;Drogaven;Esmalte Cremoso Dailus Lhamastê haja paciência;https://www.drogaven.com.br/esmalte-cremoso-dailus-lhamaste-haja-paciencia/p
7899572803200;80.71;Drogaven;MASCARA CAPILAR LOLA MORTE SUBITA 450G;https://www.drogaven.com.br/mascara-capilar-lola-morte-subita-450g/p
7894916516303;30.01;Drogaven;Enavo ODT 4mg, 10 comprimidos de desintegração oral;https://www.drogaven.com.br/enavo-odt-4mg-10-comprimidos-de-desintegracao-oral/p
7898924603949;58.7;Drogaven;Shampoo Pós-química Haskell Geo Active Bananeira 300mL;https://www.drogaven.com.br/shampoo-pos-quimica-haskell-geo-active-bananeira-300ml/p
7898049790180;16.22;Drogaven;Lorasliv 10mg 12 Comprimidos;https://www.drogaven.com.br/lorasliv-10mg-12-comprimidos/p
7896269900372;53.19;Drogaven;Betnovate 1mg/g, bisnaga com 30g de pomada de uso dermatológico;https://www.drogaven.com.br/betnovate-1mgg-bisnaga-com-30g-de-pomada-de-uso-dermatologico/p
7898430191992;107.7;Drogaven;Betrat 5000mcg + 100mg + 100mg, 42 comprimidos revestidos;https://www.drogaven.com.br/betrat-5000mcg-100mg-100mg-42-comprimidos-revestidos/p
7899852027005;39.45;Drogaven;Kit Vult Hidratante Creme Antissinais 100g + Protetor Labial FPS 15 Melancia 3,5g;https://www.drogaven.com.br/kit-vult-creme-antissinais-100g-prot-labial-melancia-35g/p
7891150091221;38.12;Drogaven;CONDICIONADOR TRESEMME 650ML BRILHO LAMELAR;https://www.drogaven.com.br/condicionador-tresemme-650ml-brilho-lamelar/p
4005900659712;54.87;Drogaven;Protetor Solar Facial Nivea Sun Beauty Expert Pele Mista à Oleosa FPS 60 com 50g;https://www.drogaven.com.br/protetor-solar-facial-nivea-sun-beauty-expert-pele-mista-a-oleosa-fps-50-com-50g/p
7891040137077;18.28;Drogaven;Fita Protetora para os Pés Nexcare transparente 25mm x 3m 1 Rolo;https://www.drogaven.com.br/fita-protetora-para-os-pes-nexcare-transparente-25mm-x-3m/p
7898636192441;30.09;Drogaven;Sabonete Concentrado Asepxia Limpeza Profunda líquido com 150mL;https://www.drogaven.com.br/sabonete-concentrado-asepxia-limpeza-profunda-liquido-com-150ml/p
7898647921542;4.89;Drogaven;Lixa de Unha Bellesa Big Parda com 3 Unidades 0864-B;https://www.drogaven.com.br/lixa-unha-bellesa-big-parda-3unid-0864-b/p
7896090611508;14.46;Drogaven;Sonrisal Tradicional 10 comprimidos efervescentes;https://www.drogaven.com.br/sonrisal-1854mg-400mg-325mg-1413mg-10-comprimidos-efervescentes-sabor-tradicional/p
7898301059888;19.59;Drogaven;Kit para Nebulização Infantil G-Tech superflow plus com 1 unidade;https://www.drogaven.com.br/kit-para-nebulizacao-infantil-g-tech-superflow-plus-com-1-unidade/p
7891106006286;22.41;Drogaven;Redoxon Gotas 200mg/mL, frasco com 20mL de solução de uso oral;https://www.drogaven.com.br/redoxon-gotas-200mgml-frasco-com-20ml-de-solucao-de-uso-oral/p
7791293032498;19.5;Drogaven;Desodorante Antitranspirante Feminino Rexona Bamboo aerossol 150mL;https://www.drogaven.com.br/desodorante-antitranspirante-feminino-rexona-bamboo-aerossol-150ml/p
7896226110226;164.36;Drogaven;Vitergan COG 60 cápsulas;https://www.drogaven.com.br/vitergan-cog-60cps/p
7896004722467;13.02;Drogaven;Lidocaína Pomada EMS 50mg/g, bisnaga com 25g de pomada de uso dermatológico;https://www.drogaven.com.br/lidocaina-pomada-ems-50mgg-bisnaga-com-25g-de-pomada-de-uso-dermatologico/p
7898639695017;29.3;Drogaven;Autoteste Covid Ag Detect G-tech 1 unidade;https://www.drogaven.com.br/autoteste-covid-ag-detect-g-tech-1unidade/p
7891150102682;25.38;Drogaven;Leave-In de Tratamento Dove Reconstrução + Aminoácido 110ml;https://www.drogaven.com.br/leaven-on-dove-reconstrucao-aminoacido-110ml/p
7896222720528;30.55;Drogaven;Gel Lubrificante Íntimo Jontex Neutro 50g;https://www.drogaven.com.br/gel-intimo-jontex-neutro-50g/p
7898258953208;14.6;Drogaven;Própolis Própion Spray Baldoni Mel & Romã 30mL;https://www.drogaven.com.br/propion-propolis-baldoni-composto-spray-melroma-30ml/p
7891317002060;72.42;Drogaven;D'Orto 150mg, 1 comprimido revestido;https://www.drogaven.com.br/dorto-150mg-1-comprimido-revestido/p
7896006219729;156.7;Drogaven;Loção Hidratante Fisiocalm Genom Derma Sem Fragrância (240mL);https://www.drogaven.com.br/fisiocalm-locao-hidratante-240ml/p
7891106908221;36.16;Drogaven;Creme Preventivo para Assaduras Bepantol Baby 60g;https://www.drogaven.com.br/creme-preventivo-para-assaduras-bepantol-baby-60g/p
7896261012936;244.49;Drogaven;Galvus 50mg, 56 comprimidos;https://www.drogaven.com.br/galvus-50mg-56-comprimidos/p
7894916502900;30.6;Drogaven;Contracep 150mg/mL, ampola com 1mL de suspensão de uso intramuscular;https://www.drogaven.com.br/contracep-150mgml-ampola-com-1ml-de-suspensao-de-uso-intramuscular/p
4005900701367;24.83;Drogaven;Sabonete Corporal Nivea Creme Care barra, 6 unidades com 90g cada;https://www.drogaven.com.br/sabonete-corporal-nivea-creme-care-barra-6-unidades-com-90g-cada/p
7896004706764;34.1;Drogaven;Celergin Maleato de Dexclorfeniramina 0,25mg/5mL + Betametasona 2mg/5mL xarope 120mL;https://www.drogaven.com.br/celergin-120ml/p
7791293033235;22.44;Drogaven;Desodorante Antitranspirante Dove Beauty Finish aerossol 150mL;https://www.drogaven.com.br/desodorante-antitranspirante-dove-beauty-finish-aerossol-150ml/p
7891317028107;92.32;Drogaven;Vascor Mr 35mg, 60 comprimidos revestidos de liberação prolongada;https://www.drogaven.com.br/vascor-mr-35mg-60-comprimidos-revestidos-de-liberacao-prolongada/p
7891010974312;26.36;Drogaven;Antisséptico Bucal Listerine Cool Mint Refrescância Suave zero álcool, hortelã suave com 500mL;https://www.drogaven.com.br/antisseptico-bucal-listerine-cool-mint-refrescancia-suave-zero-alcool-hortela-suave-com-500ml/p
7891317451035;15.68;Drogaven;Atenolol + Clortalidona Eurofarma 50mg + 12,5mg, 30 comprimidos;https://www.drogaven.com.br/atenolol-clortalidona-eurofarma-50mg-125mg-30-comprimidos/p
7896000705921;19.3;Drogaven;Kit Coloração Niely Cor&Ton nº 6.7 chocolate;https://www.drogaven.com.br/kit-coloracao-niely-corton-no-67-chocolate/p
7896006284369;33.69;Drogaven;Celestrat 0,4mg/mL + 0,05mg/mL, frasco com 120mL de xarope;https://www.drogaven.com.br/celestrat-04mgml-005mgml-frasco-com-120ml-de-xarope/p
7896181918950;181.63;Drogaven;Alenia 12mcg + 400mcg, 60 cápsulas gelatinosas duras com pó de uso inalatório + 1 inalador;https://www.drogaven.com.br/alenia-12mcg-400mcg-60-capsulas-gelatinosas-duras-com-po-de-uso-inalatorio-1-inalador/p
7896658008122;59.57;Drogaven;Artrosil 320mg, 10 cápsulas gelatinosas duras de liberação prolongada;https://www.drogaven.com.br/artrosil-320mg-10-capsulas-gelatinosas-duras-de-liberacao-prolongada/p
7899824401406;92.08;Drogaven;Proidrat Carboidrato, Eletrólito, Zinco e Lactobacillus Rhamnosus GG em Pó com 12 Sachês;https://www.drogaven.com.br/proidrat-12saches/p
7897129300509;58.6;Drogaven;Vitacid 0,5mg/g Creme de Uso Dermatológico (Com 25g);https://www.drogaven.com.br/vitacid-05mgg-bisnaga-com-25g-de-creme-de-uso-dermatologico/p
7500435260312;44.0;Drogaven;Shampoo Reparador Pantene Pro-V Science Molecular Bond Repair 510mL;https://www.drogaven.com.br/shampoo-pantene-510ml-bond-repair/p
7896020160083;15.58;Drogaven;Desodorante para Pés Tenys Pé Woman talco 100g;https://www.drogaven.com.br/desodorante-para-pes-tenys-pe-woman-talco-100g/p
4005900945693;42.91;Drogaven;Hidratante Facial Diário Nivea Acne Control 50mL;https://www.drogaven.com.br/creme-facial-nivea-acne-control-50g/p
7897411601505;38.11;Drogaven;Hirudoid 3mg/g, bisnaga com 40g de gel de uso dermatológico;https://www.drogaven.com.br/hirudoid-3mgg-bisnaga-com-40g-de-gel-de-uso-dermatologico/p
7898108640586;29.3;Drogaven;Dilatador Nasal DoutorSan M, 10 unidades;https://www.drogaven.com.br/dilatador-nasal-doutorsan-m-10-unidades/p
7622210696922;8.81;Drogaven;Goma de Mascar Trident XFresh Intense 26,6g;https://www.drogaven.com.br/goma-de-mascar-trident-xfresh-intense-266g/p
7896658005459;17.98;Drogaven;Flogoral Pastilha 3mg, 12 pastilhas, sabor menta;https://www.drogaven.com.br/flogoral-pastilha-3mg-12-pastilhas-sabor-menta/p
4005808309436;19.59;Drogaven;Loção Hidratante Corporal Nivea Milk Pele Seca a Extrasseca 200mL;https://www.drogaven.com.br/locao-hidratante-corporal-nivea-milk-pele-seca-a-extrasseca-200ml/p
7896094916890;38.12;Drogaven;Gelol Bisnaga com 60g de gel dermatológico;https://www.drogaven.com.br/gelol-bisnaga-com-60g-de-gel-dermatologico/p
7899852010199;91.04;Drogaven;Kit Eudora Siáge Hair Plastia Shampoo (250mL) + Condicionador (200mL);https://www.drogaven.com.br/pack-shampoo-250mlcondicionador-200ml-siage-hair-plastia/p
7896004777597;47.97;Drogaven;Atelop 2,5mg, 30 comprimidos;https://www.drogaven.com.br/atelop-25mg-30-comprimidos/p
78939547;21.1;Drogaven;Balas de Gelatina Valda C Laranja Mentolada 50g;https://www.drogaven.com.br/balas-de-gelatina-valda-c-laranja-mentolada-lata-com-50g/p
7891721014987;44.35;Drogaven;Euthyrox 112mcg, 50 comprimidos;https://www.drogaven.com.br/euthyrox-112mcg-50-comprimidos/p
7898943044839;125.94;Drogaven;Mega DHA Vitafor frasco com 60 cápsulas;https://www.drogaven.com.br/mega-dha-60cps/p
7897900310765;2.84;Drogaven;Barra de Cereal Trio chocolate, avelã e castanha 25g;https://www.drogaven.com.br/barra-de-cereal-trio-chocolate-avela-e-castanha-25g/p
7894222020488;19.63;Drogaven;Lip Tint Gel Dailus frozen de melancia;https://www.drogaven.com.br/lip-tint-gel-dailus-frozen-de-melancia/p
7892828001627;89.08;Drogaven;Polivitamínico Folia SOP para Gestantes 30 Sachês em Pó;https://www.drogaven.com.br/foliasop-30saches/p
78900776;22.5;Drogaven;Pastilha Valda Classic lata com 50g;https://www.drogaven.com.br/pastilha-valda-classic-lata-com-50g/p
7897129302541;136.73;Drogaven;Vitacid Plus 0,1mg/g + 40mg/g + 0,5mg/g, bisnaga com 15g de creme de uso dermatológico;https://www.drogaven.com.br/vitacid-plus-01mgg-40mgg-05mgg-bisnaga-com-15g-de-creme-de-uso-dermatologico/p
7891142115799;80.53;Drogaven;Oximax 400mcg, 30 cápsulas de pó para inalação, refil;https://www.drogaven.com.br/oximax-400mcg-30-capsulas-de-po-para-inalacao-refil/p
4005900436979;130.52;Drogaven;Creme Facial Eucerin DermoPure Oil Control 40mL;https://www.drogaven.com.br/creme-facial-eucerin-dermopure-oil-control-40ml/p
7896714273549;6.04;Drogaven;Miorrelax 300mg + 50mg + 35mg, blister com 10 comprimidos;https://www.drogaven.com.br/miorrelax-300mg-50mg-35mg-blister-com-10-comprimidos/p
7891350037456;29.3;Drogaven;Kit Tintura Wella Koleston Noites Iluminadas N° 53 Entardecer Castanho Ouro;https://www.drogaven.com.br/kit-tintura-wella-koleston-noites-iluminadas-n-53-entardecer-castanho-ouro/p
7891024035528;21.2;Drogaven;Sabonete Antibacteriano Protex Nutri Protect Vitamina E barra, 6 unidades com 85g cada;https://www.drogaven.com.br/sabonete-antibacteriano-protex-nutri-protect-vitamina-e-barra-6-unidades-com-85g-cada/p
7500435127264;5.87;Drogaven;Absorvente Always Super Proteção P sem abas, cobertura seca, pacote com 8 unidades;https://www.drogaven.com.br/absorvente-always-super-protecao-sem-abas-cobertura-seca-pacote-com-8-unidades/p
7898911494024;6.73;Drogaven;Palito de Unha Katy individual, inox com 1 unidade;https://www.drogaven.com.br/palito-de-unha-katy-individual-inox-com-1-unidade/p
7908458326150;39.1;Drogaven;Creme para Pentear Salon Line Kids Chocolate Cachinhos Nutridos 1kg;https://www.drogaven.com.br/salon-line-creme-para-pentear-chocolate-1kg/p
7899706178273;132.2;Drogaven;Protetor Solar Facial La Roche-Posay Anthelios AE-Pigmentation pele morena, FPS 50 com 40g;https://www.drogaven.com.br/protetor-solar-facial-la-roche-posay-anthelios-ae-pigmentation-pele-morena-fps-50-com-40g/p
7898040326425;54.65;Drogaven;Maresis HT 20mg/mL Spray de Solução Nasal (Com 100mL);https://www.drogaven.com.br/maresis-ht-20mgml-frasco-spray-com-100ml-de-solucao-nasal/p
7898258951549;14.6;Drogaven;Própolis Spray Baldoni Mônica Morango 30mL;https://www.drogaven.com.br/propolis-baldoni-monica-morango-30ml-spray-salcool/p
7896512914224;45.36;Drogaven;Granado Gel para Pés e Pernas Cansadas 120g;https://www.drogaven.com.br/gel-granado-pink-pespernas-120g/p
7898430192876;69.58;Drogaven;Dprev 2.000UI, 60 comprimidos revestidos;https://www.drogaven.com.br/dprev-2000ui-60-comprimidos-revestidos/p
